n      repetitions time
0      7360241     0.000000
10     2017994     0.000000
20     933155      0.000001
30     505378      0.000002
40     320790      0.000003
50     215132      0.000005
60     155970      0.000006
70     115476      0.000009
80     89016       0.000011
90     71686       0.000014
100    57825       0.000017
200    15585       0.000064
300    7235        0.000138
400    4134        0.000242
500    2713        0.000369
600    1865        0.000536
700    1407        0.000711
800    1064        0.000940
900    848         0.001179
1000   694         0.001441
1100   561         0.001784
1200   473         0.002114
1300   412         0.002427
1400   349         0.002868
1500   309         0.003239
1600   269         0.003721
1700   242         0.004145
1800   214         0.004673
1900   192         0.005229
2000   173         0.005786
